date,portfolio_value,portfolio_return_pct,spy_equivalent_value,spy_return_pct,alpha_pct,n_open_positions
2026-06-22,9988.13,-0.12,10000.0,0.0,-0.12,4
2026-06-23,10037.15,0.37,9854.78,-1.45,1.82,4
2026-06-24,10048.59,0.49,9850.21,-1.5,1.98,4
2026-06-25,9939.42,-0.61,9864.45,-1.36,0.75,4
2026-06-26,9988.65,-0.11,9793.12,-2.07,1.96,4
2026-06-29,9915.46,-0.85,9954.46,-0.46,-0.39,7
2026-06-30,9859.39,-1.41,10031.97,0.32,-1.73,7
2026-07-01,10043.86,0.44,10018.4,0.18,0.25,7
2026-07-02,10234.61,2.35,10005.24,0.05,2.29,7
2026-07-06,10166.53,1.67,10092.56,0.93,0.74,8
2026-07-07,10333.37,3.33,10044.6,0.45,2.89,8
2026-07-08,10314.01,3.14,10013.57,0.14,3.0,8
2026-07-09,10381.24,3.81,10098.34,0.98,2.83,8
2026-07-10,10431.52,4.32,10141.86,1.42,2.9,8
2026-07-13,10493.3,4.93,10064.21,0.64,4.29,8
2026-07-14,10379.53,3.8,10099.95,1.0,2.8,8
2026-07-15,10403.26,4.03,10139.98,1.4,2.63,8
2026-07-16,10627.99,6.28,10085.04,0.85,5.43,8
2026-07-17,10552.58,5.53,9985.22,-0.15,5.67,8
2026-07-20,10545.86,5.46,9969.1,-0.31,5.77,10
2026-07-21,10431.51,4.32,10052.26,0.52,3.79,10
2026-07-22,10465.42,4.65,10040.57,0.41,4.25,10
2026-07-23,10298.0,2.98,9916.58,-0.83,3.81,10
2026-07-24,10442.76,4.43,9926.65,-0.73,5.16,10
2026-07-27,10599.05,5.99,9928.8,-0.71,6.7,10
2026-07-28,10771.23,7.71,9952.58,-0.47,8.19,10
2026-07-29,10861.3,8.61,9799.43,-2.01,10.62,10
2026-07-30,10692.85,6.93,9963.73,-0.36,7.29,10
2026-07-31,10751.0,7.51,10035.47,0.35,7.16,10
2026-08-03,10782.12,7.82,10178.4,1.78,6.04,10
2026-08-04,10837.81,8.38,10361.91,3.62,4.76,10
2026-08-05,10869.61,8.7,10361.91,3.62,5.08,12
