ticker,entry_date,entry_price,shares,composite_score,setup,sector,rsi,pct_b,z_score,stoch_k,stoch_d,williams_r,atr_percentile,atr_regime,vol_ratio,pcr_volume,pcr_signal,avg_volume_m,stop_loss,target,status,exit_date,exit_price
KR,2026-06-22,55.76,18,9.06,🟢 Strong,Consumer Defensive,25.5,-0.153,-3.01,0.116,0.401,-98.3,92.9,expansion,1.43,1.0,,9.2,,,open,,
ACN,2026-06-22,124.83,8,9.53,🟢 Strong,Technology,20.0,-0.155,-2.83,0.0,0.002,-90.9,93.3,expansion,3.43,1.1,,8.1,,,open,,
NDAQ,2026-06-22,82.61,12,7.26,🟡 Watchlist,Financial Services,36.4,0.051,-1.5,0.018,0.212,-88.3,95.2,expansion,1.32,2.8,,3.9,,,open,,
SBAC,2026-06-22,187.59,5,6.65,🟡 Watchlist,Real Estate,35.2,0.003,-0.75,0.017,0.08,-88.3,86.5,expansion,0.87,7.53,,1.0,,,open,,
T,2026-06-29,20.77,48,6.53,🟡 Watchlist,Communication Services,34.8,0.131,-2.26,0.754,0.8,-76.8,92.1,expansion,1.48,1.5,,57.4,,,open,,
CME,2026-06-29,221.56,5,9.41,🟢 Strong,Financial Services,21.8,-0.016,-2.92,0.0,0.029,-99.5,96.0,expansion,1.11,0.8,,4.6,,,open,,
ROL,2026-06-29,41.75,25,9.06,🟢 Strong,Consumer Cyclical,23.9,-0.019,-3.28,0.116,0.141,-94.7,71.8,normal,1.19,0.1,,5.1,,,open,,
STZ,2026-07-06,132.21,7,8.12,🟢 Strong,Consumer Defensive,32.9,-0.167,-1.4,0.023,0.042,-91.0,97.6,expansion,1.34,2.5,,2.7,,,open,,
AIV,2026-07-20,2.67,400,8.94,🟢 Strong,Real Estate,25.8,-0.009,-2.52,0.079,0.074,-100.0,72.6,normal,1.12,,,1.4,,,open,,
SNPS,2026-07-20,378.46,3,8.71,🟢 Strong,Technology,22.7,-0.137,-1.5,0.0,0.0,-87.3,61.5,normal,1.17,0.8,,2.0,,,open,,
GME,2026-08-05,19.05,52,8.65,🟢 Strong,Consumer Cyclical,27.1,-0.193,-2.49,0.191,0.426,-87.4,58.7,normal,0.61,,,4.9,17.9,22.12,open,,
LII,2026-08-05,435.0,2,8.29,🟢 Strong,Industrials,29.7,0.073,-2.21,0.072,0.073,-84.3,98.4,expansion,1.43,,N/A,0.6,396.54,537.55,open,,
